GEO_id,GEO_id2,Label,Med_income
1500000US170310309002,170310309002,"Block Group 2, Census Tract 309, Cook County, Illinois",74760
1500000US170310309003,170310309003,"Block Group 3, Census Tract 309, Cook County, Illinois",90583
1500000US170310309004,170310309004,"Block Group 4, Census Tract 309, Cook County, Illinois",73295
1500000US170310310001,170310310001,"Block Group 1, Census Tract 310, Cook County, Illinois",91250
1500000US170310310002,170310310002,"Block Group 2, Census Tract 310, Cook County, Illinois",55543
1500000US170310310003,170310310003,"Block Group 3, Census Tract 310, Cook County, Illinois",69674
1500000US170310311001,170310311001,"Block Group 1, Census Tract 311, Cook County, Illinois",90521
1500000US170310311002,170310311002,"Block Group 2, Census Tract 311, Cook County, Illinois",30824
1500000US170310311003,170310311003,"Block Group 3, Census Tract 311, Cook County, Illinois",65333
1500000US170310312001,170310312001,"Block Group 1, Census Tract 312, Cook County, Illinois",85865
1500000US170310312003,170310312003,"Block Group 3, Census Tract 312, Cook County, Illinois",8744
1500000US170310313001,170310313001,"Block Group 1, Census Tract 313, Cook County, Illinois",52546
1500000US170310313002,170310313002,"Block Group 2, Census Tract 313, Cook County, Illinois",54531
1500000US170310313003,170310313003,"Block Group 3, Census Tract 313, Cook County, Illinois",30431
1500000US170310313004,170310313004,"Block Group 4, Census Tract 313, Cook County, Illinois",17132
1500000US170310313005,170310313005,"Block Group 5, Census Tract 313, Cook County, Illinois",59315
1500000US170310314001,170310314001,"Block Group 1, Census Tract 314, Cook County, Illinois",92604
1500000US170310314002,170310314002,"Block Group 2, Census Tract 314, Cook County, Illinois",81452
1500000US170310314003,170310314003,"Block Group 3, Census Tract 314, Cook County, Illinois",68125
1500000US170310314004,170310314004,"Block Group 4, Census Tract 314, Cook County, Illinois",-
1500000US170310314005,170310314005,"Block Group 5, Census Tract 314, Cook County, Illinois",59592
1500000US170310314006,170310314006,"Block Group 6, Census Tract 314, Cook County, Illinois",64063
1500000US170310315011,170310315011,"Block Group 1, Census Tract 315.01, Cook County, Illinois",25650
1500000US170310315013,170310315013,"Block Group 3, Census Tract 315.01, Cook County, Illinois",15000
1500000US170310315021,170310315021,"Block Group 1, Census Tract 315.02, Cook County, Illinois",35278
1500000US170310315022,170310315022,"Block Group 2, Census Tract 315.02, Cook County, Illinois",19776
1500000US170310315023,170310315023,"Block Group 3, Census Tract 315.02, Cook County, Illinois",18377
1500000US170310317001,170310317001,"Block Group 1, Census Tract 317, Cook County, Illinois",34718
1500000US170310317003,170310317003,"Block Group 3, Census Tract 317, Cook County, Illinois",32820
1500000US170310317004,170310317004,"Block Group 4, Census Tract 317, Cook County, Illinois",91771
1500000US170310318001,170310318001,"Block Group 1, Census Tract 318, Cook County, Illinois",57560
1500000US170310319001,170310319001,"Block Group 1, Census Tract 319, Cook County, Illinois",51650
1500000US170310319002,170310319002,"Block Group 2, Census Tract 319, Cook County, Illinois",70882
1500000US170310321001,170310321001,"Block Group 1, Census Tract 321, Cook County, Illinois",77209
1500000US170310321003,170310321003,"Block Group 3, Census Tract 321, Cook County, Illinois",31522
1500000US170310321004,170310321004,"Block Group 4, Census Tract 321, Cook County, Illinois",34330
1500000US170310401001,170310401001,"Block Group 1, Census Tract 401, Cook County, Illinois",71652
1500000US170310401002,170310401002,"Block Group 2, Census Tract 401, Cook County, Illinois",56875
1500000US170310401003,170310401003,"Block Group 3, Census Tract 401, Cook County, Illinois",65781
1500000US170310402011,170310402011,"Block Group 1, Census Tract 402.01, Cook County, Illinois",61793
1500000US170310402012,170310402012,"Block Group 2, Census Tract 402.01, Cook County, Illinois",38720
1500000US170310402013,170310402013,"Block Group 3, Census Tract 402.01, Cook County, Illinois",68108
1500000US170310402014,170310402014,"Block Group 4, Census Tract 402.01, Cook County, Illinois",49074
1500000US170310402022,170310402022,"Block Group 2, Census Tract 402.02, Cook County, Illinois",29950
1500000US170310402023,170310402023,"Block Group 3, Census Tract 402.02, Cook County, Illinois",19764
1500000US170310402024,170310402024,"Block Group 4, Census Tract 402.02, Cook County, Illinois",37479
1500000US170310403001,170310403001,"Block Group 1, Census Tract 403, Cook County, Illinois",79167
1500000US170310403002,170310403002,"Block Group 2, Census Tract 403, Cook County, Illinois",75737
1500000US170310403003,170310403003,"Block Group 3, Census Tract 403, Cook County, Illinois",106125
1500000US170310404011,170310404011,"Block Group 1, Census Tract 404.01, Cook County, Illinois",74671
1500000US170310404012,170310404012,"Block Group 2, Census Tract 404.01, Cook County, Illinois",102723
1500000US170310404013,170310404013,"Block Group 3, Census Tract 404.01, Cook County, Illinois",47391
1500000US170310404014,170310404014,"Block Group 4, Census Tract 404.01, Cook County, Illinois",75729
1500000US170310404022,170310404022,"Block Group 2, Census Tract 404.02, Cook County, Illinois",63558
1500000US170310404023,170310404023,"Block Group 3, Census Tract 404.02, Cook County, Illinois",80579
1500000US170310404024,170310404024,"Block Group 4, Census Tract 404.02, Cook County, Illinois",51154
1500000US170310404025,170310404025,"Block Group 5, Census Tract 404.02, Cook County, Illinois",85481
1500000US170310406001,170310406001,"Block Group 1, Census Tract 406, Cook County, Illinois",67760
1500000US170310406002,170310406002,"Block Group 2, Census Tract 406, Cook County, Illinois",70938
1500000US170310406003,170310406003,"Block Group 3, Census Tract 406, Cook County, Illinois",80735
1500000US170310407001,170310407001,"Block Group 1, Census Tract 407, Cook County, Illinois",65694
1500000US170310407002,170310407002,"Block Group 2, Census Tract 407, Cook County, Illinois",74259
1500000US170310407003,170310407003,"Block Group 3, Census Tract 407, Cook County, Illinois",63036
1500000US170310407004,170310407004,"Block Group 4, Census Tract 407, Cook County, Illinois",83750
1500000US170310408001,170310408001,"Block Group 1, Census Tract 408, Cook County, Illinois",69063
1500000US170310408002,170310408002,"Block Group 2, Census Tract 408, Cook County, Illinois",82381
1500000US170310409001,170310409001,"Block Group 1, Census Tract 409, Cook County, Illinois",66250
1500000US170310409002,170310409002,"Block Group 2, Census Tract 409, Cook County, Illinois",92639
1500000US170310501001,170310501001,"Block Group 1, Census Tract 501, Cook County, Illinois",74773
1500000US170310501002,170310501002,"Block Group 2, Census Tract 501, Cook County, Illinois",77328
1500000US170310502001,170310502001,"Block Group 1, Census Tract 502, Cook County, Illinois",86250
1500000US170310502002,170310502002,"Block Group 2, Census Tract 502, Cook County, Illinois",66138
1500000US170310502003,170310502003,"Block Group 3, Census Tract 502, Cook County, Illinois",60614
1500000US170310503001,170310503001,"Block Group 1, Census Tract 503, Cook County, Illinois",91250
1500000US170310503002,170310503002,"Block Group 2, Census Tract 503, Cook County, Illinois",73646
1500000US170310503003,170310503003,"Block Group 3, Census Tract 503, Cook County, Illinois",67045
1500000US170310505001,170310505001,"Block Group 1, Census Tract 505, Cook County, Illinois",127113
1500000US170310505002,170310505002,"Block Group 2, Census Tract 505, Cook County, Illinois",87430
1500000US170310505003,170310505003,"Block Group 3, Census Tract 505, Cook County, Illinois",100788
1500000US170310505004,170310505004,"Block Group 4, Census Tract 505, Cook County, Illinois",90956
1500000US170310505005,170310505005,"Block Group 5, Census Tract 505, Cook County, Illinois",91919
1500000US170310506001,170310506001,"Block Group 1, Census Tract 506, Cook County, Illinois",89643
1500000US170310506002,170310506002,"Block Group 2, Census Tract 506, Cook County, Illinois",95972
1500000US170310507001,170310507001,"Block Group 1, Census Tract 507, Cook County, Illinois",113676
1500000US170310508001,170310508001,"Block Group 1, Census Tract 508, Cook County, Illinois",109231
1500000US170310509001,170310509001,"Block Group 1, Census Tract 509, Cook County, Illinois",76429
1500000US170310510001,170310510001,"Block Group 1, Census Tract 510, Cook County, Illinois",101579
1500000US170310511001,170310511001,"Block Group 1, Census Tract 511, Cook County, Illinois",94375
1500000US170310512001,170310512001,"Block Group 1, Census Tract 512, Cook County, Illinois",98000
1500000US170310512002,170310512002,"Block Group 2, Census Tract 512, Cook County, Illinois",105875
1500000US170310513001,170310513001,"Block Group 1, Census Tract 513, Cook County, Illinois",174250
1500000US170310513002,170310513002,"Block Group 2, Census Tract 513, Cook County, Illinois",118365
1500000US170310514001,170310514001,"Block Group 1, Census Tract 514, Cook County, Illinois",83523
1500000US170310514002,170310514002,"Block Group 2, Census Tract 514, Cook County, Illinois",73542
1500000US170310601001,170310601001,"Block Group 1, Census Tract 601, Cook County, Illinois",87262
1500000US170310601002,170310601002,"Block Group 2, Census Tract 601, Cook County, Illinois",106385
1500000US170310601003,170310601003,"Block Group 3, Census Tract 601, Cook County, Illinois",91719
1500000US170310602001,170310602001,"Block Group 1, Census Tract 602, Cook County, Illinois",63094
1500000US170310602002,170310602002,"Block Group 2, Census Tract 602, Cook County, Illinois",64241
1500000US170310603001,170310603001,"Block Group 1, Census Tract 603, Cook County, Illinois",121563
1500000US170310603002,170310603002,"Block Group 2, Census Tract 603, Cook County, Illinois",79429
1500000US170310604001,170310604001,"Block Group 1, Census Tract 604, Cook County, Illinois",84598
1500000US170310604002,170310604002,"Block Group 2, Census Tract 604, Cook County, Illinois",120972
1500000US170310604003,170310604003,"Block Group 3, Census Tract 604, Cook County, Illinois",152500
1500000US170310605001,170310605001,"Block Group 1, Census Tract 605, Cook County, Illinois",35781
1500000US170310608001,170310608001,"Block Group 1, Census Tract 608, Cook County, Illinois",81467
1500000US170310608002,170310608002,"Block Group 2, Census Tract 608, Cook County, Illinois",-
1500000US170310608003,170310608003,"Block Group 3, Census Tract 608, Cook County, Illinois",71597
1500000US170310609001,170310609001,"Block Group 1, Census Tract 609, Cook County, Illinois",60301
1500000US170310609002,170310609002,"Block Group 2, Census Tract 609, Cook County, Illinois",-
1500000US170310609003,170310609003,"Block Group 3, Census Tract 609, Cook County, Illinois",68750
1500000US170310609004,170310609004,"Block Group 4, Census Tract 609, Cook County, Illinois",63967
1500000US170310609005,170310609005,"Block Group 5, Census Tract 609, Cook County, Illinois",25203
1500000US170310610001,170310610001,"Block Group 1, Census Tract 610, Cook County, Illinois",101750
1500000US170310611001,170310611001,"Block Group 1, Census Tract 611, Cook County, Illinois",91893
1500000US170310612001,170310612001,"Block Group 1, Census Tract 612, Cook County, Illinois",100139
1500000US170310615001,170310615001,"Block Group 1, Census Tract 615, Cook County, Illinois",99464
1500000US170310618001,170310618001,"Block Group 1, Census Tract 618, Cook County, Illinois",44833
1500000US170310619011,170310619011,"Block Group 1, Census Tract 619.01, Cook County, Illinois",71696
1500000US170310619012,170310619012,"Block Group 2, Census Tract 619.01, Cook County, Illinois",62109
1500000US170310619013,170310619013,"Block Group 3, Census Tract 619.01, Cook County, Illinois",44943
1500000US170310619014,170310619014,"Block Group 4, Census Tract 619.01, Cook County, Illinois",31229
1500000US170310619021,170310619021,"Block Group 1, Census Tract 619.02, Cook County, Illinois",51517
1500000US170310619022,170310619022,"Block Group 2, Census Tract 619.02, Cook County, Illinois",44224
1500000US170310619023,170310619023,"Block Group 3, Census Tract 619.02, Cook County, Illinois",80625
1500000US170310619024,170310619024,"Block Group 4, Census Tract 619.02, Cook County, Illinois",-
1500000US170310620001,170310620001,"Block Group 1, Census Tract 620, Cook County, Illinois",82415
1500000US170310620002,170310620002,"Block Group 2, Census Tract 620, Cook County, Illinois",65592
1500000US170310621001,170310621001,"Block Group 1, Census Tract 621, Cook County, Illinois",167107
1500000US170310621002,170310621002,"Block Group 2, Census Tract 621, Cook County, Illinois",72417
1500000US170310621003,170310621003,"Block Group 3, Census Tract 621, Cook County, Illinois",69000
1500000US170310622001,170310622001,"Block Group 1, Census Tract 622, Cook County, Illinois",96630
1500000US170310622002,170310622002,"Block Group 2, Census Tract 622, Cook County, Illinois",125625
1500000US170310623001,170310623001,"Block Group 1, Census Tract 623, Cook County, Illinois",133542
1500000US170310624001,170310624001,"Block Group 1, Census Tract 624, Cook County, Illinois",120833
1500000US170310625001,170310625001,"Block Group 1, Census Tract 625, Cook County, Illinois",106771
1500000US170310626001,170310626001,"Block Group 1, Census Tract 626, Cook County, Illinois",110938
1500000US170310627001,170310627001,"Block Group 1, Census Tract 627, Cook County, Illinois",107895
1500000US170310627002,170310627002,"Block Group 2, Census Tract 627, Cook County, Illinois",103875
1500000US170310627003,170310627003,"Block Group 3, Census Tract 627, Cook County, Illinois",82417
1500000US170310628001,170310628001,"Block Group 1, Census Tract 628, Cook County, Illinois",147679
1500000US170310628002,170310628002,"Block Group 2, Census Tract 628, Cook County, Illinois",116458
1500000US170310628003,170310628003,"Block Group 3, Census Tract 628, Cook County, Illinois",115368
1500000US170310629001,170310629001,"Block Group 1, Census Tract 629, Cook County, Illinois",137557
1500000US170310629002,170310629002,"Block Group 2, Census Tract 629, Cook County, Illinois",125660
1500000US170310629003,170310629003,"Block Group 3, Census Tract 629, Cook County, Illinois",107500
1500000US170310630001,170310630001,"Block Group 1, Census Tract 630, Cook County, Illinois",71778
1500000US170310630002,170310630002,"Block Group 2, Census Tract 630, Cook County, Illinois",95667
1500000US170310630003,170310630003,"Block Group 3, Census Tract 630, Cook County, Illinois",75833
1500000US170310631001,170310631001,"Block Group 1, Census Tract 631, Cook County, Illinois",91099
1500000US170310631002,170310631002,"Block Group 2, Census Tract 631, Cook County, Illinois",77500
1500000US170310632001,170310632001,"Block Group 1, Census Tract 632, Cook County, Illinois",52991
1500000US170310632003,170310632003,"Block Group 3, Census Tract 632, Cook County, Illinois",50143
1500000US170310632004,170310632004,"Block Group 4, Census Tract 632, Cook County, Illinois",117929
1500000US170310632005,170310632005,"Block Group 5, Census Tract 632, Cook County, Illinois",65625
1500000US170310632006,170310632006,"Block Group 6, Census Tract 632, Cook County, Illinois",47826
1500000US170310633011,170310633011,"Block Group 1, Census Tract 633.01, Cook County, Illinois",41250
1500000US170310633012,170310633012,"Block Group 2, Census Tract 633.01, Cook County, Illinois",58125
1500000US170310633013,170310633013,"Block Group 3, Census Tract 633.01, Cook County, Illinois",21875
1500000US170310633021,170310633021,"Block Group 1, Census Tract 633.02, Cook County, Illinois",95506
1500000US170310633022,170310633022,"Block Group 2, Census Tract 633.02, Cook County, Illinois",71786
1500000US170310633023,170310633023,"Block Group 3, Census Tract 633.02, Cook County, Illinois",51906
1500000US170310633024,170310633024,"Block Group 4, Census Tract 633.02, Cook County, Illinois",32119
1500000US170310633031,170310633031,"Block Group 1, Census Tract 633.03, Cook County, Illinois",39635
1500000US170310633032,170310633032,"Block Group 2, Census Tract 633.03, Cook County, Illinois",95060
1500000US170310634001,170310634001,"Block Group 1, Census Tract 634, Cook County, Illinois",89779
1500000US170310634002,170310634002,"Block Group 2, Census Tract 634, Cook County, Illinois",60817
1500000US170310701011,170310701011,"Block Group 1, Census Tract 701.01, Cook County, Illinois",100260
1500000US170310701012,170310701012,"Block Group 2, Census Tract 701.01, Cook County, Illinois",94688
1500000US170310701013,170310701013,"Block Group 3, Census Tract 701.01, Cook County, Illinois",41230
1500000US170310701021,170310701021,"Block Group 1, Census Tract 701.02, Cook County, Illinois",51250
1500000US170310701022,170310701022,"Block Group 2, Census Tract 701.02, Cook County, Illinois",75125
1500000US170310701023,170310701023,"Block Group 3, Census Tract 701.02, Cook County, Illinois",69091
1500000US170310701031,170310701031,"Block Group 1, Census Tract 701.03, Cook County, Illinois",67273
1500000US170310701032,170310701032,"Block Group 2, Census Tract 701.03, Cook County, Illinois",50278
1500000US170310702001,170310702001,"Block Group 1, Census Tract 702, Cook County, Illinois",104188
1500000US170310702002,170310702002,"Block Group 2, Census Tract 702, Cook County, Illinois",105685
1500000US170310702003,170310702003,"Block Group 3, Census Tract 702, Cook County, Illinois",57284
1500000US170310703001,170310703001,"Block Group 1, Census Tract 703, Cook County, Illinois",100357
1500000US170310703002,170310703002,"Block Group 2, Census Tract 703, Cook County, Illinois",94286
1500000US170310704001,170310704001,"Block Group 1, Census Tract 704, Cook County, Illinois",24484
1500000US170310704002,170310704002,"Block Group 2, Census Tract 704, Cook County, Illinois",111719
1500000US170310704003,170310704003,"Block Group 3, Census Tract 704, Cook County, Illinois",143646
1500000US170310705001,170310705001,"Block Group 1, Census Tract 705, Cook County, Illinois",122500
1500000US170310705002,170310705002,"Block Group 2, Census Tract 705, Cook County, Illinois",53958
1500000US170310705003,170310705003,"Block Group 3, Census Tract 705, Cook County, Illinois",189688
1500000US170310706001,170310706001,"Block Group 1, Census Tract 706, Cook County, Illinois",174135
1500000US170310706002,170310706002,"Block Group 2, Census Tract 706, Cook County, Illinois",130518
1500000US170310707001,170310707001,"Block Group 1, Census Tract 707, Cook County, Illinois",152181
1500000US170310707002,170310707002,"Block Group 2, Census Tract 707, Cook County, Illinois",63160
1500000US170310710002,170310710002,"Block Group 2, Census Tract 710, Cook County, Illinois",100399
1500000US170310711001,170310711001,"Block Group 1, Census Tract 711, Cook County, Illinois",132875
1500000US170310711002,170310711002,"Block Group 2, Census Tract 711, Cook County, Illinois",70109
1500000US170310712001,170310712001,"Block Group 1, Census Tract 712, Cook County, Illinois",102063
1500000US170310712002,170310712002,"Block Group 2, Census Tract 712, Cook County, Illinois",87500
1500000US170310713001,170310713001,"Block Group 1, Census Tract 713, Cook County, Illinois",124932
1500000US170310713002,170310713002,"Block Group 2, Census Tract 713, Cook County, Illinois",85198
1500000US170310714001,170310714001,"Block Group 1, Census Tract 714, Cook County, Illinois",65667
1500000US170310714002,170310714002,"Block Group 2, Census Tract 714, Cook County, Illinois",72875
1500000US170310714003,170310714003,"Block Group 3, Census Tract 714, Cook County, Illinois",76136
